Tree_ID,Date_Modif,Species_ID,Name_Botan,Name_Commo,Height_Gro,Height_Min,Height_Max,DBH_Group,DBH_Min,DBH_Max,District,Address,Street,On_Address,On_Street,Tree_Numbe,Location_D,Census_Tra,california,long_NAD83,lat_nad83
10946358,12/17/2020 11:52,56,Ficus microcarpa 'Nitida',Indian Laurel Fig,3,30,45,6,31,0,20,1047,MAPLE ST,2460,11TH ST,3,Side,18,363,363823.1931,3764155.641
10920847,12/17/2020 11:52,27,Ceratonia siliqua,Carob,3,30,45,6,31,0,6,2001,IDAHO AV,2001,IDAHO AV,2,Front,3,365,362653.8717,3767109.125
10931155,12/17/2020 11:45,12,Brachychiton populneus,Bottle Tree,2,15,30,3,13,18,4,365,23RD ST,365,23RD ST,2,Front,2,366,362302.5157,3768060.954
10946991,12/16/2020 14:39,82,Metrosideros excelsus,New Zealand Christmas Tree,1,1,15,1,0,6,20,1025,PINE ST,1025,PINE ST,1,Front,18,363,363710.3977,3764194.558
10946555,12/16/2020 14:39,46,Afrocarpus gracilior,Fern Pine,1,1,15,1,0,6,20,1417,GRANT ST,1417,GRANT ST,1,Front,18,363,363888.2962,3764806.043
10947097,12/16/2020 14:38,230,Tipuana tipu,Tipu,2,15,30,1,0,6,20,2017,EUCLID ST,2017,EUCLID ST,1,Front,18,363,363607.952,3764775.142
10947012,12/16/2020 14:38,230,Tipuana tipu,Tipu,1,1,15,1,0,6,20,2036,EUCLID ST,2036,EUCLID ST,2,Front,18,363,363632.0228,3764718.778
10947093,12/16/2020 14:38,230,Tipuana tipu,Tipu,2,15,30,1,0,6,20,2033,EUCLID ST,2033,EUCLID ST,1,Front,18,363,363635.4903,3764741.376
10945731,12/3/2020 16:18,87,Olea europaea,Olive,2,15,30,1,0,6,19,2,LOS AMIGOS PARK,2,LOS AMIGOS PARK,9,Park,16,363,363181.2634,3763899.935
10931690,12/3/2020 7:57,40,Cedrus deodara,Deodar Cedar,3,30,45,5,25,30,4,260,20TH ST,260,20TH ST,1,Front,2,366,361811.8843,3767899.183
10931695,12/3/2020 7:57,40,Cedrus deodara,Deodar Cedar,3,30,45,5,25,30,4,259,20TH ST,259,20TH ST,1,Front,2,366,361822.5034,3767911.681
